Hogwarts House,theta0,Astronomy,Herbology,Divination,Muggle Studies,Ancient Runes,History of Magic
Ravenclaw,1.1040827286869646,0.7402694270051713,0.27721359228686426,0.7978414633577028,0.7619524553513369,0.727665305511091,0.777462991841036
Slytherin,1.5376446991719355,0.39629851116823034,0.3723127539546933,0.33284455501326027,0.3909185287620944,1.0169455313555238,0.42784446310540813
Gryffindor,1.203069839983703,0.8070593156688493,0.8779949761036955,0.8670927859993743,0.30492643690187266,0.2451506787659929,0.3244816770727677
Hufflepuff,1.247601195137037,0.32150492958536314,0.9096928393326043,0.9080765645492801,0.8601290017351033,0.8238765212867578,0.33673192683435965
